company,product,category,screen(pixel),ram(GB),gpu,os,os_version,weigth(kg),price,resolution,screentype,touchscreen,cpu_name,cpu_speed(GHz),cpu_brand,storage_1(GB),storage_2(GB),storage_1_type,storage_2_type,gpu_name
Apple,MacBook Pro,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,macOS,macOS ,1.37,11912523.48,2560x1600,IPSPanelRetinaDisplay,0.0,Intel Core i5,2.3,Intel,128.0,0.0,SSD,,Intel
Apple,Macbook Air,Ultrabook,13.3,8,Intel HD Graphics 6000,macOS,macOS ,1.34,7993374.48,1440x900,,0.0,Intel Core i5,1.8,Intel,128.0,0.0,Flash Storage,,Intel
HP,250 G6,Notebook,15.6,8,Intel HD Graphics 620,No OS,No OS ,1.86,5112900.0,1920x1080,,0.0,Intel Core i5 7200U,2.5,Intel,256.0,0.0,SSD,,Intel
Apple,MacBook Pro,Ultrabook,15.4,16,AMD Radeon Pro 455,macOS,macOS ,1.83,22563005.4,2880x1800,IPSPanelRetinaDisplay,0.0,Intel Core i7,2.7,Intel,512.0,0.0,SSD,,AMD
Apple,MacBook Pro,Ultrabook,13.3,8,Intel Iris Plus Graphics 650,macOS,macOS ,1.37,16037611.2,2560x1600,IPSPanelRetinaDisplay,0.0,Intel Core i5,3.1,Intel,256.0,0.0,SSD,,Intel
Acer,Aspire 3,Notebook,15.6,4,AMD Radeon R5,Windows,Windows 10,2.1,3556800.0,1366x768,,0.0,AMD A9-Series 9420,3.0,AMD,500.0,0.0,HDD,,AMD
Apple,MacBook Pro,Ultrabook,15.4,16,Intel Iris Pro Graphics,Mac OS,Mac OS X,2.04,19028613.24,2880x1800,IPSPanelRetinaDisplay,0.0,Intel Core i7,2.2,Intel,256.0,0.0,Flash Storage,,Intel
Apple,Macbook Air,Ultrabook,13.3,8,Intel HD Graphics 6000,macOS,macOS ,1.34,10303160.4,1440x900,,0.0,Intel Core i5,1.8,Intel,256.0,0.0,Flash Storage,,Intel
Asus,ZenBook UX430UN,Ultrabook,14.0,16,Nvidia GeForce MX150,Windows,Windows 10,1.3,13293540.0,1920x1080,,0.0,Intel Core i7 8550U,1.8,Intel,512.0,0.0,SSD,,Nvidia
Acer,Swift 3,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows,Windows 10,1.6,6846840.0,1920x1080,IPSPanel,0.0,Intel Core i5 8250U,1.6,Intel,256.0,0.0,SSD,,Intel
HP,250 G6,Notebook,15.6,4,Intel HD Graphics 620,No OS,No OS ,1.86,3502558.8,1366x768,,0.0,Intel Core i5 7200U,2.5,Intel,500.0,0.0,HDD,,Intel
HP,250 G6,Notebook,15.6,4,Intel HD Graphics 520,No OS,No OS ,1.86,3067651.08,1920x1080,,0.0,Intel Core i3 6006U,2.0,Intel,500.0,0.0,HDD,,Intel
